,title,company,salary,summary,location,link
68,Mobile Software Engineer - iOS & Android,Visa,,"We are looking for hands-on software engineers with a passion to build innovative products.
This role requires quick problem solving skills, logical thinking,…",London,https://uk.indeed.com/rc/clk?jk=1ad3fe426af9414b&fccid=a3f737e511d9fc8c&vjs=3
69,Lead DevOp,Linux Recruit,"£75,000 - £85,000 a year","San Francisco start up they said, free breakfast, lunch, dinner with beers every night.
All this while still having the time to tuck in their children at night,…",London,https://uk.indeed.com/rc/clk?jk=5debe6fcba8908b7&fccid=c7414b794cb89c1c&vjs=3
70,Senior Scala Backend Engineer,Linux Recruit,"£70,000 - £95,000 a year",Sports fans wanted! This is an opportunity to join a highly successful and heavily backed startup who provide a product which brings sports fans together.…,London,https://uk.indeed.com/rc/clk?jk=09f8a9618db04c59&fccid=c7414b794cb89c1c&vjs=3
71,Lead Scala Developer,Searchability,"£100,000 a year","Remote-first with ad hoc trips into our London office.
Salary up to £100K + remote working allowance, learning budget, pension, mental health days & support,…",London,https://uk.indeed.com/rc/clk?jk=beed2a60823a500c&fccid=2c97f9555235f285&vjs=3
72,DevOps / Build Engineer,Linux Recruit,"£65,000 - £75,000 a year","The ideal candidate will come from a Linux background and also have expertise with several development languages - Python, Java, Javascript (node.js), Ruby etc …",London,https://uk.indeed.com/rc/clk?jk=56b3b5455762250f&fccid=c7414b794cb89c1c&vjs=3
73,Infrastructure DevOps Engineer,TechNET IT Recruitment Ltd,"£95,000 a year","Understanding and experience of blockchain infrastructure.
Building and maintaining infrastructure for its own fleet of blockchain nodes (>25 layer 1 protocols…",London,https://uk.indeed.com/rc/clk?jk=385927c63c09563d&fccid=02f4c7867f34a46a&vjs=3
74,Senior DevOps Engineer,Linux Recruit,"£60,000 - £70,000 a year","You'll be working in what could be described as a full stack team side by side with the Developers in a fully collaborative state, scaling and automating their…",London,https://uk.indeed.com/rc/clk?jk=17e6068f1ccf661b&fccid=c7414b794cb89c1c&vjs=3
75,Software Development Manager - Payment Systems,IBM,,"Hiring and people management of a department of software developers and technical staff.
Proven management experience in a software product development…",London,https://uk.indeed.com/rc/clk?jk=e45c3d3e508c12b5&fccid=de71a49b535e21cb&vjs=3
76,newSenior Consultant - Dev Ops Lead - Insurance Technology - Lo...,EY,,Our UK Insurance Technology practice empowers some of the biggest Insurance clients to solve their most complex business problems and transform their…,London E14 5EY,https://uk.indeed.com/rc/clk?jk=c19857be51956450&fccid=1544766d4c2915b0&vjs=3
77,Senior Software Test Engineer - Payment Systems,IBM,,"Definitivef experience as a software tester or full stack developer with a focus on strong interest in software quality.
To think along with clients and sell.",London,https://uk.indeed.com/rc/clk?jk=ed233b87d1b5942a&fccid=de71a49b535e21cb&vjs=3
